organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,newly diagnosed patients-diabetes only,newly diagnosed patients-hypertension only,newly diagnosed patients-dm & htn (both),newly diagnosed patients-oral cancer,newly diagnosed patients-breast cancer_ncd,newly diagnosed patients-cervical cancer,newly diagnosed patients-other cancers,newly diagnosed patients-cvds,newly diagnosed patients-copd,newly diagnosed patients-ckd,newly diagnosed patients-nfald,newly diagnosed patients-stroke,newly diagnosed patients-rheumatoid arthritis
SRjaOfgOdW7,AHMADNAGAR District,INP020011,,723.0,1107.0,128.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
y9J7k1pN9OA,Akola Circle,,,1261.0,1976.0,1096.0,4.0,6.0,1.0,4.0,89.0,18.0,7.0,1.0,33.0,1.0
qC8kRmVDTDh,AKOLA District,INP020010,,110.0,119.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LKmRCfa7kKi,AMRAVATI District,INP020003,,629.0,834.0,664.0,4.0,2.0,0.0,0.0,45.0,4.0,0.0,0.0,16.0,0.0
by8LuXBuJEM,Aurangabad Circle,,,712.0,1299.0,447.0,1.0,0.0,0.0,0.0,51.0,85.0,1.0,0.0,12.0,8.0
xF4hs9euAzp,AURANGABAD District,INP020004,,540.0,787.0,356.0,0.0,0.0,0.0,0.0,20.0,74.0,1.0,0.0,5.0,8.0
gaOwpAyUNPD,BEED District,INP020005,,1310.0,2031.0,1407.0,0.0,2.0,0.0,0.0,173.0,705.0,174.0,0.0,18.0,0.0
wH9vOL1BtQ6,BHANDARA District,INP020006,,2263.0,6885.0,1195.0,6.0,2.0,2.0,3.0,90.0,53.0,12.0,10.0,69.0,23.0
rV6qE1poSug,BULDHANA District,INP020007,,211.0,182.0,181.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,0.0,0.0,0.0
v68mENuVO6i,CHANDRAPUR District,INP020012,,103.0,202.0,75.0,2.0,1.0,0.0,3.0,11.0,37.0,2.0,0.0,21.0,11.0
TNVtygx5jFa,DHULE District,INP020009,,152.0,365.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uO7oaa4xK73,GADCHIROLI District,INP020015,,486.0,641.0,422.0,9.0,1.0,0.0,2.0,90.0,37.0,32.0,8.0,27.0,34.0
GEt1mNCoczB,GONDIA District,INP020016,,272.0,476.0,264.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
QtqEfxUglbW,HINGOLI District,INP020014,,28.0,257.0,44.0,0.0,0.0,0.0,0.0,22.0,7.0,0.0,0.0,0.0,0.0
XkMce0wFkWa,JALGAON District,INP020008,,238.0,351.0,60.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,3.0,0.0,16.0
eugBHYWFNaX,JALNA District,INP020018,,74.0,93.0,20.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,2.0,0.0
gypaPwnDJ1I,Kolhapur Circle,,,3008.0,5280.0,1359.0,7.0,1.0,0.0,1.0,19.0,24.0,24.0,4.0,17.0,151.0
mIG6g6JDHb9,KOLHAPUR District,INP020019,,384.0,752.0,252.0,4.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,2.0,0.0
GG3gJjxAbfx,Latur Circle,,,2353.0,4128.0,2025.0,1.0,2.0,1.0,2.0,312.0,905.0,211.0,22.0,70.0,111.0
TqxlKYYICWF,LATUR District,INP020017,,357.0,726.0,104.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0
b3vBdsycgAD,MAHARASHTRA,INP020,,17458.0,31809.0,10653.0,41.0,39.0,10.0,22.0,956.0,1783.0,358.0,236.0,402.0,467.0
MOrPVrbsUV5,Mumbai Circle,,,845.0,1153.0,492.0,0.0,1.0,0.0,0.0,129.0,302.0,24.0,109.0,91.0,5.0
xErXLgdjqAn,MUMBAI District,INP020021,,,,,,,,,,,,,,
KnqPnNOQioa,Nagpur Circle,,,3755.0,9128.0,2345.0,18.0,5.0,3.0,8.0,207.0,190.0,47.0,19.0,125.0,112.0
wbug8Mxo6zC,NAGPUR District,INP020020,,541.0,728.0,346.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,32.0
YBdLW8HbtTq,NANDED District,INP020024,,401.0,844.0,396.0,0.0,0.0,0.0,0.0,100.0,172.0,33.0,21.0,35.0,111.0
R3e0vEeNGKf,NANDURBAR District,INP020025,,833.0,1202.0,398.0,1.0,2.0,2.0,2.0,32.0,22.0,22.0,19.0,8.0,6.0
bpwdZ43qNP8,NASHIK District,INP020023,,669.0,1176.0,416.0,1.0,1.0,1.0,3.0,41.0,46.0,11.0,6.0,30.0,2.0
lt9nHhvDkE9,Nasik Circle,,,2615.0,4201.0,1082.0,4.0,4.0,3.0,6.0,73.0,115.0,33.0,28.0,38.0,24.0
ceSRLSuzCVv,OSMANABAD District,INP020027,,285.0,527.0,118.0,1.0,0.0,1.0,2.0,39.0,24.0,4.0,0.0,17.0,0.0
hNKI6wGAYKW,PALGHAR District,,,103.0,112.0,34.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
KybL1gHWlQz,PARBHANI District,INP020028,,70.0,162.0,27.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0
tt1jP7AMMXh,Pune Circle,,,2909.0,4644.0,1807.0,6.0,20.0,2.0,1.0,76.0,144.0,11.0,53.0,16.0,55.0
YeFrXHg9G9A,PUNE District,INP020026,,2540.0,3893.0,1649.0,0.0,7.0,0.0,0.0,34.0,76.0,3.0,22.0,1.0,46.0
BoAXl0VBwzM,RAIGAD District,INP020030,,121.0,139.0,22.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0
iq9F3uBuH8V,RATNAGIRI District,INP020031,,204.0,391.0,106.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0
IQkIUNqMpZh,SANGLI District,INP020029,,124.0,297.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,42.0
eoPDxhiVN0N,SATARA District,INP020033,,136.0,471.0,58.0,3.0,13.0,2.0,1.0,25.0,26.0,6.0,31.0,14.0,2.0
WtAaAL4DqyP,SINDHUDURG District,INP020034,,2296.0,3840.0,911.0,3.0,1.0,0.0,1.0,16.0,21.0,9.0,3.0,13.0,109.0
TXW9gLCDId8,SOLAPUR District,INP020032,,233.0,280.0,100.0,3.0,0.0,0.0,0.0,17.0,42.0,2.0,0.0,1.0,7.0
gebOTX312Ko,THANE District,INP020001,,621.0,902.0,436.0,0.0,1.0,0.0,0.0,127.0,299.0,14.0,109.0,91.0,5.0
O6nkEM1HSlL,WARDHA District,INP020035,,90.0,196.0,43.0,0.0,1.0,1.0,0.0,16.0,17.0,1.0,1.0,8.0,8.0
cEtISxeARwH,WASHIM District,INP020002,,98.0,350.0,53.0,0.0,4.0,1.0,4.0,37.0,5.0,2.0,0.0,17.0,0.0
dSaNDIEQRBn,YEOTMAL District,INP020013,,213.0,491.0,134.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0
